variable,count.x,percentage.x,count.y,percentage.y,count,percentage
Boolean operators used correctly,25,83.3,28,93.3,23,95.8
Database subj heading/thesauri used,13,41.9,17,56.7,17,70.8
Keyword variants used,25,80.6,26,86.7,24,100
Phrase searching used correctly,24,77.4,24,80,18,75
Database syntax used correctly,19,61.3,27,90,24,100
Google Scholar searched,19,61.3,11,36.7,13,54.2
Google searched,7,22.6,8,26.7,14,58.3
Handsearches conducted,12,38.7,14,46.7,14,58.3
Experts contacted,23,74.2,21,70,17,70.8
Backward citation searching conducted,27,87.1,24,80,22,91.7
Forward citation searching conducted,11,35.5,9,30,8,33.3
References of related reviews searched,22,71,20,66.7,19,79.2
Search updated prior to publication,6,19.4,9,30,13,54.2
Kugley et al. (2017) guidance cited,2,6.5,2,6.7,3,12.5
