"","refman_software_text"
"2","Titles and abstracts of the search results from database, grey literature, and citation searches were uploaded to the EPPI-Reviewer 4 online system"
"3","All relevant documents meeting search criteria were catalogued in an EPPI-Reviewer database"
"5","""the candidate studies located in their respective channels were imported to Endnote (The EndNote Team, 2013) and organized in separate folders. From there, the references were imported into the internet-based software Distiller SR (Evidence Partners, Ottawa, Canada)."""
"6","The search results used to identify a broad set of potentially relevant qualitative and quantitative empirical studies as well as conceptual papers on contract farming were stored in EPPI Reviewer 4. Each upload indicates the source and search terms used in search-specific RIS-files."
"7","""After removing duplicates in the reference management software EndNote, screening of 28,375 records by title and abstract was carried out by individual reviewers"""
"11","De-duplication of the references was done by the information specialist using Reference Manager 12."
"13","""We used the EPPI-Reviewer 4 bibliographic software (Thomas et al, 2010) to manage retrieved references."""
"16","This information was stored in a Reference Manager database."
"18","The results of each search were imported into EndNote reference management software where the initial title and abstract screening took place."
"21","References identified through database and grey literature searching were screened independently, in duplicate by two members of the research team using Covidence software."
"23","Zotero, a reference management software program was used to retrieve, store, and document the search process. Each database had its own file folder within Zotero and was searched individually."
"25","All studies retrieved from our search were inputted to Endnote and then duplicate records were removed."
"28","Endnote X7 software was used to manage references, citations and documents. Data extracted to characterise studies was inputted in STATA v.13 in order to produce inferential/descriptive statistics. Effect sizes were inputted in Version 3.0 of the Comprehensive Meta-Analysis software."
"31","As outlined in the protocol, titles were reviewed initially in Endnote by the lead author to remove any studies which were clearly irrelevant...Reasons for exclusion were independently reported by both reviewers in 
the ‘research notes’ field within endnote reference manager."
"32","All bibliographic information was exported into an Endnote database and managed from there"
"33","A total of 9,102 references from all searches were imported to Covidence
 for title and abstract screening. After removal of 1,929 duplicates, 
7,173 titles/abstracts were screened by one reviewer and 7,106 reports 
were excluded."
"34","All search results were imported into EPPI-Reviewer 4 and duplicates removed."
"38","Search results were merged using EndNote and duplicate records of the same publication/report were removed."
"39","We imported all search results into EPPI‐Reviewer 4 (version4.7.1.0"
"41","they mentioned using Excel"
"43","References were imported to EndNote for a duplication test. Since the Bielefeld Academic Search Engine (BASE) and Google Scholar does not allow for advanced search strings and result in a large number of hits, we chose to include the first 500 hits in each database for further screening. Of these, 94 references were immediately excluded because of clear irrelevance before importing references to the EndNote library (this was done because the importation of references from these databases to the EndNote library was less straightforward than for the other databases)."
"44","In the grey literature section of Appendix C, Mendeley is mentioned a few times in this way: ""References imported into Mendeley-database: 177.  References imported to EPPI-reviewer after duplication in Mendeley: 171.""; The results of all of the electronic searches were combined into a master database on a software database specifically designed for processing studies in a SR: EPPI Reviewer 4"
"45","We stored all the references identified by the search in EndNote 
software (Version X7). We recorded (in a Microsoft Excel spreadsheet) 
all websites searched and the details of any reports found or further 
contacts made. When screening full papers, we used the EPPI-Reviewer 4 
(V.4.5.0.1) software to keep records of all eligibility decisions."
"47","We imported all citations found through the above search methods into the Mendeley reference management software (http://www.mendeley.com/). Mendeley automatically extracted bibliographic data from each book, article, or reference and removed all duplicates."
